Date,Open,High,Low,Close,Volume
2019-07-03,788.77,791.77,750.27,756.67,67139
2019-07-04,754.57,759.57,739.99,749.97,46217
2019-07-05,754.77,774.77,745.07,768.59,50033
2019-07-08,763.82,766.67,743.77,753.63,33614
2019-07-09,748.07,757.77,737.12,744.83,31723
2019-07-10,749.7,759.35,745.77,751.29,28167
2019-07-11,758.73,767.15,744.77,750.27,30514
2019-07-12,750.07,760.27,748.78,754.86,28174
2019-07-15,736.57,748.87,719.9,744.7,59870
2019-07-16,744.22,751.07,733.77,736.77,33245
2019-07-17,736.77,741.76,730.9,732.27,25469
2019-07-18,730.27,731.77,715.95,716.27,39253
2019-07-19,723.77,729.57,716.77,724.64,28015
2019-07-22,728.77,732.77,719.02,725.79,28125
2019-07-23,731.07,731.36,712.63,722.75,32484
2019-07-24,727.08,728.67,713.46,715.13,46771
2019-07-25,714.74,732.13,706.92,731.77,38256
2019-07-26,730.74,739.77,727.32,733.8,26468
2019-07-29,730.8,748.27,728.78,745.18,26981
2019-07-30,745.27,751.77,739.77,747.7,19538
2019-07-31,743.77,750.54,735.36,741.37,22526
2019-08-01,745.28,745.77,721.79,728.07,35090
2019-08-02,712.77,726.75,711.77,723.22,39719
2019-08-05,713.77,722.77,708.77,711.2,36774
2019-08-06,699.77,716.77,692.57,715.07,43991
2019-08-07,718.27,724.3,713.77,713.77,26870
2019-08-08,722.27,742.77,720.77,740.45,38808
2019-08-09,747.27,749.72,727.76,730.8,28462
2019-08-12,779.08,788.87,763.78,787.4,81499
2019-08-13,784.93,794.77,779.45,786.72,30330
2019-08-14,798.79,820.67,798.79,812.1,41411
2019-08-15,796.77,815.25,796.77,813.67,27237
2019-08-16,818.61,844.35,809.77,823.37,36087
2019-08-19,829.77,838.75,817.82,824.65,32868
2019-08-20,823.77,842.45,818.77,838.77,28602
2019-08-21,838.87,845.74,830.43,834.77,25067
2019-08-22,841.76,872.77,838.77,872.77,37591
2019-08-23,873.77,902.33,864.39,898.87,40192
2019-08-26,881.77,896.77,865.45,871.72,48498
2019-08-27,885.77,900.08,877.77,877.77,52164
2019-08-28,877.77,891.96,851.78,868.88,47010
2019-08-29,873.77,886.95,861.27,881.87,29330
2019-08-30,893.77,914.77,891.77,910.77,44891
2019-09-02,908.76,913.75,897.77,907.53,28234
2019-09-03,908.77,919.79,897.33,908.77,29485
2019-09-04,909.57,911.68,888.88,893.78,33600
2019-09-05,897.77,913.67,896.77,912.77,32931
2019-09-06,913.27,914.92,899.77,911.26,26177
2019-09-09,913.77,916.77,903.77,905.29,29379
2019-09-10,903.07,903.77,888.78,892.62,26227
2019-09-11,887.99,888.74,836.77,838.29,81717
2019-09-12,834.77,878.75,834.77,867.77,41211
2019-09-16,851.77,872.72,851.77,867.77,31372
2019-09-17,862.77,875.43,855.77,862.78,25197
2019-09-18,877.27,918.77,876.95,917.67,69314
2019-09-19,916.77,918.77,905.87,913.77,24480
2019-09-20,919.77,928.77,916.36,926.19,37627
2019-09-23,925.77,925.77,899.77,917.77,30026
2019-09-24,923.77,953.67,920.77,952.77,36269
2019-09-25,948.77,957.64,939.27,942.77,24025
2019-09-26,943.71,952.12,927.58,935.77,26082
2019-09-27,932.77,951.77,921.77,943.52,22827
2019-09-30,931.77,938.2,918.77,918.77,30825
2019-10-08,921.77,948.77,920.78,935.87,31045
2019-10-09,934.97,934.97,903.82,915.58,35789
2019-10-10,895.77,927.7,877.79,923.77,41174
